run_id,makespan,energy,utilization,sla_violation
276,969.73,516379.02,0.8156,0.034
277,1051.56,545587.15,0.7915,0.0657
278,883.95,532096.27,0.8709,0.0426
279,945.45,493432.59,0.813,0.0749
280,1008.3,510523.85,0.7514,0.1131
281,971.15,515956.13,0.7954,0.096
282,878.15,507651.29,0.872,0.0682
283,835.04,532073.36,0.8556,0.03
284,948.0,475933.43,0.8117,0.0663
285,928.16,492456.31,0.8254,0.0882
286,1011.28,509027.69,0.8738,0.0505
287,1015.52,520107.42,0.8043,0.1135
288,1002.58,552290.99,0.8385,0.0452
289,986.36,551623.05,0.8486,0.052
290,974.21,493491.36,0.8408,0.0748
291,1013.73,600803.06,0.7663,0.0785
292,927.62,429296.28,0.8472,0.0372
293,982.86,481429.49,0.827,0.1051
294,892.5,532794.81,0.8715,0.0312
295,941.07,508042.69,0.8379,0.03
296,1033.07,513046.83,0.809,0.085
297,871.27,481681.48,0.8349,0.0556
298,912.34,519969.65,0.8016,0.0637
299,1008.74,536974.97,0.8213,0.0654
300,1014.71,467046.61,0.8008,0.081
301,1060.33,524580.51,0.8012,0.0967
302,929.68,509671.62,0.8536,0.0268
303,947.83,502873.68,0.8,0.0654
304,904.22,477406.73,0.8532,0.0706
305,889.01,480561.21,0.8556,0.053
306,919.2,525416.67,0.8536,0.0683
307,938.62,516763.78,0.8217,0.0472
308,918.94,460838.48,0.8565,0.0725
309,960.62,510445.85,0.8114,0.0288
310,943.77,476193.92,0.7874,0.0773
311,967.43,494258.47,0.8081,0.0217
312,876.19,529981.35,0.8618,0.0726
313,832.56,488786.4,0.8556,0.0325
314,910.63,533997.05,0.8873,0.021
315,916.01,533265.05,0.8232,0.0438
316,927.64,536768.74,0.7874,0.0573
317,1041.85,502533.43,0.7844,0.1018
318,907.24,494685.04,0.7959,0.0461
319,890.51,486961.67,0.8712,0.0408
320,950.31,542036.66,0.8148,0.0548
321,1020.57,593675.52,0.849,0.0538
322,833.12,470131.4,0.8661,0.067
323,900.11,525514.4,0.8538,0.059
324,1018.93,494424.11,0.8051,0.0389
325,844.65,511453.27,0.8658,0.0506
326,921.33,512594.87,0.8692,0.0686
327,1174.56,597441.09,0.7722,0.1042
328,900.8,521424.23,0.8382,0.0333
329,843.59,529655.91,0.8459,0.0304
330,852.46,480490.59,0.841,0.0274
331,989.38,580469.35,0.806,0.0459
332,865.5,421677.34,0.8686,0.0506
333,947.13,486678.03,0.8371,0.0631
334,1003.99,509889.71,0.7983,0.0767
335,878.08,453418.02,0.8106,0.0556
336,961.17,499911.89,0.835,0.0914
337,892.15,467055.39,0.8768,0.0624
338,896.46,519692.93,0.8389,0.0438
339,997.44,492133.09,0.7976,0.0565
340,977.6,550769.05,0.8588,0.0403
341,999.28,523346.18,0.8265,0.0705
342,1022.59,563253.3,0.8056,0.0879
343,930.42,522461.37,0.8026,0.0649
344,824.66,470011.68,0.8708,0.0032
345,895.1,458771.4,0.8827,0.039
346,923.79,514593.03,0.8463,0.0109
347,1070.77,541741.6,0.8585,0.0424
348,935.33,446613.6,0.8429,0.0643
349,988.35,506571.63,0.8407,0.0914
350,1045.73,619523.96,0.8128,0.0247
351,856.89,417473.58,0.861,0.0523
352,1008.13,558321.89,0.8276,0.025
353,1069.04,607524.78,0.7867,0.0531
354,899.97,448086.94,0.8442,0.0319
355,1004.29,554105.02,0.8078,0.0756
356,834.46,440552.89,0.8332,0.0589
357,1049.77,613731.19,0.8172,0.0666
358,988.29,582702.7,0.8361,0.0576
359,1032.61,553816.23,0.8292,0.0744
360,843.83,466051.55,0.866,0.0602
361,890.41,496917.73,0.8326,0.0502
362,950.85,499154.15,0.8528,0.0528
363,907.5,466155.93,0.8422,0.0523
364,935.17,502952.99,0.8662,0.0433
365,824.9,452874.03,0.8528,0.0539
366,893.36,503732.35,0.8189,0.0838
367,979.79,539557.12,0.878,0.0573
368,890.51,494470.06,0.8265,0.0477
369,1015.25,477464.86,0.7809,0.1031
370,953.48,521830.78,0.8329,0.0517
371,873.51,474904.87,0.8647,0.0501
372,895.35,516014.69,0.8431,0.0511
373,894.09,465209.11,0.8639,0.0443
374,1002.73,474227.7,0.7809,0.0708
375,888.54,472383.22,0.8617,0.057
376,883.88,507881.26,0.8251,0.082
